# iteración mejor promedio
0 759.417393962842 936.6081134275929
1 759.417393962842 924.8431458103968
2 733.7178793815547 912.9896815610283
3 724.3557310714351 909.2459433455332
4 685.1048260865258 892.4679035408312
5 679.1095058835217 878.9166818919523
6 679.1095058835217 866.6904646802134
7 646.0509610791476 863.8452284009172
8 646.0509610791476 857.0830283045789
9 646.0509610791476 844.3256544067807
10 646.0509610791476 840.5826622634986
11 634.625399601365 827.5609115112569
12 634.625399601365 823.4888595750715
13 634.625399601365 816.7861536013298
14 634.625399601365 813.7953554951604
15 634.625399601365 811.038689254688
16 581.6485046526651 802.9382187568382
17 575.8545037532699 802.7727603662155
18 575.8545037532699 797.4847449427025
19 557.5084565079621 797.5390999136283
20 557.5084565079621 791.9410894445855
21 531.9629600135421 788.0798440789202
22 531.9629600135421 774.7933084836375
23 531.9629600135421 771.6862434011216
24 531.9629600135421 757.8353055736271
25 531.9629600135421 746.3074904895195
26 531.9629600135421 741.1635202897955
27 531.9629600135421 734.7937993713265
28 531.9629600135421 727.957071787261
29 531.9629600135421 712.017164273255
30 516.6269371663755 706.3498099665268
31 516.6269371663755 692.4034111973052
32 516.6269371663755 688.1873295821963
33 516.6269371663755 680.1506751828449
34 516.6269371663755 671.6435916514286
35 516.6269371663755 665.68618828624
36 513.5484890699694 663.3947568634471
37 499.84041873883984 657.4755619456787
38 473.3547765777598 652.6427046736695
39 470.33971411794516 641.646786223817
40 470.33971411794516 633.0062099437399
41 470.33971411794516 624.7929822639546
42 441.99665414722244 617.0411822515947
43 441.99665414722244 613.8863066264355
44 441.99665414722244 607.1633433047879
45 441.99665414722244 596.2638008087055
46 441.99665414722244 590.1019814023243
47 441.99665414722244 589.4075947085381
48 441.99665414722244 581.101530671145
49 441.6349546045905 581.6939917454991
50 427.21412754029774 578.8889211435417
51 427.21412754029774 563.6871084121432
52 400.62990146196546 555.3607409323836
53 400.62990146196546 545.209830688513
54 400.62990146196546 538.1627318972412
