# iteración mejor promedio
0 25.562367221162518 89.43024053308278
1 25.562367221162518 82.14468313648761
2 18.782859403080177 73.11567300523407
3 18.5466549523754 66.03863633178875
4 10.996622944153728 60.96325025874516
5 10.996622944153728 51.38832902098639
6 5.547294280528961 47.558445139224894
7 5.547294280528961 40.72642417023484
8 5.06513914034118 33.28922303975983
9 4.714706416135838 26.05826565663571
10 4.344529023020152 16.173632184131087
11 4.003492288230928 12.500571141125096
12 3.0799706495649994 10.092065462498317
13 3.077536542149744 8.024977913384891
14 3.077536542149744 7.736889072511205
15 3.0624855288464623 6.9580784083845995
16 2.7803387792085186 6.278323449462452
17 2.7803387792085186 5.915957269153805
18 2.6084862166128913 6.0592153540748415
19 2.192948558118128 5.697897613506229
20 2.192948558118128 5.104914667238621
21 2.19118350225186 6.186164956104623
22 2.1371164831864733 5.096255021692951
23 2.091563953957536 6.2193322148277055
24 1.6719713493358612 5.495969503449309
25 1.6719713493358612 4.060636426387525
26 1.6719713493358612 4.089326162552743
27 1.5037605712612347 3.1688079491349805
28 1.1653081845590092 3.735216297738183
29 1.1653081845590092 3.144965802912856
30 1.1650387511228855 2.974757897642098
31 1.1649952631956928 3.163500805676605
32 1.1649952631956928 2.835488526575058
33 0.8953130971523475 2.835471733746717
34 0.6587971931235141 3.018464938043094
35 0.6330625059216882 2.1812623112328295
36 0.5927117453422185 2.436525740179215
37 0.5768475443500164 2.8006196910664367
38 0.5524579472609189 1.3668194398189322
39 0.5524579472609189 1.6912976780919313
40 0.5524579472609189 1.4932261662362167
41 0.5414993926551712 0.8773682161189252
42 0.52703043677169 1.1852833815454193
43 0.506953490047302 1.711377691435808
44 0.506953490047302 0.6854606277577495
45 0.506953490047302 0.6606394913455427
46 0.506953490047302 0.7863612808693344
47 0.506953490047302 0.6190429959342109
48 0.506953490047302 1.3234733699487855
49 0.506953490047302 1.5362907618103394
50 0.506953490047302 0.6141190199500063
51 0.506953490047302 0.8423124793742316
52 0.49384712846437423 0.6088599498856675
53 0.49384712846437423 0.6023287718019243
54 0.49384712846437423 0.7710490098950465
55 0.4929243309285746 0.5909753832242783
56 0.4929243309285746 0.5891584011907962
57 0.49283150785574875 0.5838194487149133
58 0.49283150785574875 0.5857326026987588
59 0.49283150785574875 0.8193541699758518
60 0.49283150785574875 0.8680824098134302
61 0.49283150785574875 0.8200796304451977
62 0.49283150785574875 0.9041500112599872
63 0.49283088021853994 0.5636886962832233
64 0.49283088021853994 0.5632527749075088
65 0.49283088021853994 0.75565171944982
66 0.49263122751112853 1.089767136910561
67 0.49087256456792605 0.5636912779135513
68 0.49087256456792605 0.643599595948824
69 0.49087256456792605 0.5615560210937042
70 0.49087256456792605 0.9548188294539878
71 0.49087256456792605 0.562229448422733
72 0.49087256456792605 0.5616122767839236
73 0.49087256456792605 0.9013240914950288
74 0.49087256456792605 1.0038976754011772
75 0.49087256456792605 0.9573154629890196
76 0.49087256456792605 0.5519197515855121
77 0.4900186791776994 0.5435748621350754
78 0.4900186791776994 1.2629647838079967
79 0.4900186791776994 2.149314695193738
80 0.4900186791776994 1.7189408927519019
81 0.4900186791776994 0.5467433035640656
82 0.4900186791776994 1.3995411603382204
83 0.4890670433393637 1.07221156837389
84 0.4890670433393637 1.147150985100912
85 0.4890670433393637 0.7849870854881368
86 0.4890670433393637 1.612883600352361
87 0.4890670433393637 2.109079547751449
88 0.4890670433393637 0.99061766465076
89 0.4890670433393637 0.9655277663684019
90 0.4890670433393637 1.5808575385868426
91 0.4890670433393637 1.3247483696818163
92 0.4890670433393637 1.4257753796080754
93 0.4890670433393637 1.9720290635912194
94 0.4890670433393637 1.8755366648823324
95 0.4890670433393637 1.2595906940819233
96 0.4890670433393637 0.6523471645984468
97 0.4890670433393637 2.3942196312555546
98 0.4890670433393637 0.5164501272405697
99 0.4890670433393643 0.6090081531505374
100 0.4890670433393643 0.863637123988459
101 0.4890670433393643 0.9706800523486432
102 0.4890670433393643 1.969393378221698
103 0.4890670433393643 1.0605049012963286
104 0.4890670433393643 0.5210113173408529
